parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,7.34,mmlu,MMLU,14042,0.2299529981484119,0.23009542800170915,0.01424298532972379,0.2299529981484119,0.23009542800170915,0.01424298532972379
56,7.34,openbookqa,OpenBookQA,500,0.16,0.17,1.0000000000000009,0.282,0.296,1.4000000000000012
56,7.34,piqa,PIQA,1838,0.6066376496191512,0.6001088139281828,-0.6528835690968404,0.6082698585418934,0.6104461371055495,0.21762785636560977
56,7.34,sciq,SciQ,1000,0.722,0.741,1.9000000000000017,0.641,0.657,1.6000000000000014
56,7.34,siqa,SIQA,1954,0.36489252814739,0.37563971340839303,1.0747185261003045,0.4119754350051177,0.417093142272262,0.5117707267144334
56,7.34,winogrande,WinoGrande,1267,0.5153906866614049,0.5256511444356748,1.0260457774269982,0.5098658247829518,0.510655090765588,0.07892659826361781
56,8.389,arc_challenge,ARC-C,1172,0.203072,0.214164,1.109199999999999,0.242321,0.246587,0.4265999999999992
56,8.389,arc_easy,ARC-E,2376,0.4861111111111111,0.5260942760942761,3.9983164983164956,0.43308080808080807,0.4890572390572391,5.597643097643101
56,8.389,csqa,CSQA,1221,0.23832923832923833,0.29238329238329236,5.405405405405403,0.2841932841932842,0.3022113022113022,1.8018018018018
56,8.389,hellaswag,HellaSwag,10042,0.27833100975901215,0.2811192989444334,0.2788289185421233,0.30083648675562635,0.3043218482374029,0.34853614817765277
56,8.389,mmlu,MMLU,14042,0.22945449366187154,0.22945449366187154,0.0,0.22945449366187154,0.22945449366187154,0.0
56,8.389,openbookqa,OpenBookQA,500,0.158,0.2,4.200000000000001,0.282,0.288,0.6000000000000005
56,8.389,piqa,PIQA,1838,0.6153427638737758,0.6147986942328618,-0.05440696409140244,0.6131664853101197,0.6142546245919478,0.10881392818280489
56,8.389,sciq,SciQ,1000,0.742,0.751,0.9000000000000008,0.635,0.69,5.499999999999994
56,8.389,siqa,SIQA,1954,0.3587512794268168,0.3694984646878199,1.07471852610031,0.40992835209826,0.4119754350051177,0.2047082906857678
56,8.389,winogrande,WinoGrande,1267,0.5201262825572218,0.5098658247829518,-1.0260457774269982,0.4980268350434096,0.5019731649565904,0.39463299131807794
56,9.437,arc_challenge,ARC-C,1172,0.200512,0.215017,1.4505000000000017,0.249147,0.256826,0.7678999999999991
56,9.437,arc_easy,ARC-E,2376,0.49537037037037035,0.5012626262626263,0.5892255892255949,0.4313973063973064,0.45286195286195285,2.146464646464646
56,9.437,csqa,CSQA,1221,0.24078624078624078,0.2571662571662572,1.6380016380016404,0.28992628992628994,0.2882882882882883,-0.16380016380016515
56,9.437,hellaswag,HellaSwag,10042,0.28231428002389963,0.27992431786496713,-0.23899621589325015,0.29685321649073887,0.304919338777136,0.8066122286397137
56,9.437,mmlu,MMLU,14042,0.23109243697478993,0.23052271756160092,-0.05697194131890071,0.23109243697478993,0.23052271756160092,-0.05697194131890071
