parameters_m,tokens_b,base_macro10_acc,hq_macro10_acc,gap_macro10_acc_pp,base_macro10_acc_norm,hq_macro10_acc_norm,gap_macro10_acc_norm_pp,base_original_macro4_acc,hq_original_macro4_acc,gap_original_macro4_acc_pp,hq_task_wins_raw,hq_task_ties_raw
143,9.437,0.410912337742264,0.41742195605655974,0.6509618314295756,0.4231667425736054,0.42963390282827013,0.6467160254664652,0.4315208344603961,0.4459813450696187,1.4460510609222625,5,0
143,10.486,0.4083634354267865,0.42387542044119153,1.5511985014404959,0.4207807238496194,0.43675278511768323,1.5972061268063802,0.43319003791013405,0.4535143529013718,2.032431499123777,6,1
143,11.534,0.40775205198962006,0.41719814764613244,0.9446095656512423,0.41905464698303974,0.4295947499455209,1.054010296248115,0.43223605240072405,0.4470220198345776,1.4785967433853588,7,0
143,12.583,0.41171064099260385,0.41968152506846224,0.7970884075858455,0.42269572884083295,0.4312616432191926,0.8565914378359661,0.4378047354799085,0.45081009504678277,1.3005359566874266,5,0
143,13.631,0.4142849856068477,0.4198378882398755,0.5552902633027983,0.4276343685857493,0.43073625816336014,0.31018895776107,0.43776211637378803,0.4560183477601781,1.8256231386390036,5,0
143,14.68,0.4139226777034756,0.42130893995333246,0.7386262249856891,0.4275612524052438,0.4331344794362401,0.5573227030996305,0.43545993268132843,0.45301406881968453,1.755413613835615,6,0
143,15.729,0.4162081427824864,0.4241857195964995,0.7977576814013021,0.4308195721735729,0.4329581904167911,0.2138618243218282,0.4441415335267056,0.45584159414915937,1.1700060622453794,7,0
143,16.777,0.41289431846303726,0.4226716819602652,0.9777363497227928,0.42205544079549123,0.4371073990119726,1.5051958216481287,0.43562553315425023,0.4550109593332675,1.9385426179017298,6,0
143,17.826,0.41679096630736456,0.4222944689832163,0.550350267585168,0.42777926409079614,0.43408976261224985,0.6310498521453697,0.4376542255564976,0.4525661130310572,1.4911887474559649,5,0
143,18.874,0.42104363457524324,0.4266093765210538,0.5565741945810538,0.43164667054531414,0.4401529973345082,0.850632678919399,0.44649645832297313,0.4627044514701957,1.6207993147222552,5,0
143,19.923,0.422514116121486,0.4277482826868929,0.5234166565406839,0.4327965370402814,0.43916946702857373,0.6372929988292397,0.44803019777402564,0.46565423686820623,1.762403909418056,6,0
143,19.999,0.42342877027388093,0.4273563565225942,0.3927586248713225,0.43277636825349164,0.4402948484130393,0.7518480159547625,0.4490253968368379,0.46481914008353376,1.57937432466959,4,0
263,1.049,0.37345802327982336,0.37266449208324437,-0.07935311965790477,0.3863508499167084,0.38751415638789716,0.11633064711887849,0.3831344833827125,0.3907676688546396,0.7633185471927053,5,0
263,2.097,0.3899164228948953,0.3981028387065894,0.8186415811694131,0.3979609803314092,0.4080304178904447,1.00694375590355,0.4063044370562945,0.42001659522907564,1.3712158172781177,5,0
263,3.146,0.40774228058157913,0.40863865389984466,0.0896373318265515,0.4182205741347763,0.41912586162599014,0.09052874912137943,0.42795995219259275,0.43543468132403734,0.7474729131444634,6,0
263,4.194,0.4084414089241154,0.421935618779138,1.3494209855022599,0.4183487774024982,0.4312923503462397,1.2943572943741524,0.4316259925802399,0.4491288671532028,1.7502874572962903,8,0
